crash_id,degree_of_crash,degree_of_crash_-_detailed,reporting_year,year_of_crash,month_of_crash,day_of_week_of_crash,two-hour_intervals,street_of_crash,street_type,distance,direction,identifying_feature,identifying_feature_type,town,route_no.,school_zone_location,school_zone_active,type_of_location,latitude,longitude,lga,urbanisation,conurbation_1,alignment,primary_permanent_feature,primary_temporary_feature,primary_hazardous_feature,street_lighting,road_surface,surface_condition,weather,natural_lighting,signals_operation,other_traffic_control,speed_limit,road_classification_(admin),rum_-_code,rum_-_description,dca_-_code,dca_-_description,dca_supplement,first_impact_type,key_tu_type,other_tu_type,no._of_traffic_units_involved,no._killed,no._seriously_injured,no._moderately_injured,no._minor-other_injured,month_num,month_label,season,day_label,time_label,time_band,is_peak_commute,is_fatal,is_injury,is_casualty
1371640,Injury,Moderate Injury,2024,2024,August,Monday,08:00 - 09:59,GAN GAN,RD,60,East,KOALA,PL,BOAT HARBOUR,4045.0,No,Not a school zone,2-way undivided,-32.77863,152.110303,Port Stephens,Country urban,Rest of NSW - Urban,Straight,Embankment/cutting,,,Off,Sealed,Wet,Raining,Daylight,Nil,No traffic controls,70 km/h,Local,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,Car (sedan/hatch),,1,0,0,1,0,8,August,Winter,Monday,08:00 - 09:59,AM peak / school commute,True,False,True,True
1371641,Injury,Serious Injury,2024,2024,November,Tuesday,08:00 - 09:59,MITCHELL,HWY,90,North,SALEYARDS,RD,TRANGIE,7.0,No,Not a school zone,Divided road,-32.032836,147.986689,Narromine,Country urban,Rest of NSW - Urban,Straight,B'down lane/road shldr,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,State,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,Car (sedan/hatch),,2,0,1,0,0,11,November,Spring,Tuesday,08:00 - 09:59,AM peak / school commute,True,False,True,True
1371642,Injury,Serious Injury,2024,2024,December,Friday,14:00 - 15:59,GREAT WESTERN,HWY,0,Right on the spot,PRINCES,HWY,CHIPPENDALE,5.0,No,Not a school zone,T-junction,-33.884491,151.194739,Sydney,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,On,Ped crossing,50 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,4 wheel drive / SUV,Light truck utility(from 2018),3,0,1,0,0,12,December,Summer,Friday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371645,Injury,Minor/Other Injury,2024,2024,November,Friday,04:00 - 05:59,CUMBERLAND,HWY,10,East,FERNDALE,CL,CONSTITUTION HILL,13.0,No,Not a school zone,X-intersection,-33.796177,150.978234,Parramatta,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Dawn,On,No traffic controls,70 km/h,State,35,Lane change left,307,Same - Lane change left,,Other angle,Light truck utility(from 2018),Car (sedan/hatch),2,0,0,0,1,11,November,Spring,Friday,04:00 - 05:59,Late night / early morning,False,False,True,True
1371650,Injury,Minor/Other Injury,2024,2024,November,Friday,08:00 - 09:59,MILITARY,RD,0,Right on the spot,NUMBER 119,HN,GUILDFORD,,No,Not a school zone,2-way undivided,-33.85347,150.984796,Cumberland,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Driveway/entrance,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,Local,47,Emerging from drive,406,Manov - Emerging from driveway,,Right angle,Car (sedan/hatch),Pedal cycle,2,0,0,0,1,11,November,Spring,Friday,08:00 - 09:59,AM peak / school commute,True,False,True,True
1371651,Injury,Moderate Injury,2024,2024,November,Friday,12:00 - 13:59,STATION,ST,0,Right on the spot,TURTON,RD,WARATAH,326.0,No,Not a school zone,X-intersection,-32.902931,151.728715,Newcastle,Newcastle met. area,Syd-Newc-Woll Gtr conurbation,Curved,,,,Off,Sealed,Dry,Fine,Daylight,On,No traffic controls,60 km/h,State,10,Cross traffic,101,Adj - Cross traffic,,Right angle,Station wagon,Car (sedan/hatch),2,0,0,1,0,11,November,Spring,Friday,12:00 - 13:59,Midday / afternoon,False,False,True,True
1371652,Injury,Serious Injury,2024,2024,October,Saturday,18:00 - 19:59,THE HORSLEY,DR,0,Right on the spot,CARRAMAR INTERNATIONAL SHOOPPING VILLAGE,ENT,CARRAMAR,609.0,Yes,No,2-way undivided,-33.885356,150.967632,Fairfield,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Dusk,Nil,No traffic controls,60 km/h,State,0,Ped nearside,1,Ped - Near side,,Vehicle - Pedestrian,4 wheel drive / SUV,Pedestrian,2,0,1,0,0,10,October,Spring,Saturday,18:00 - 19:59,PM peak / evening commute,True,False,True,True
1371655,Injury,Serious Injury,2024,2024,November,Saturday,22:00 - Midnight,BENTINCK,ST,0,Right on the spot,NUMBER 43,HN,BALLINA,,No,Not a school zone,2-way undivided,-28.86539,153.566077,Ballina,Country urban,Rest of NSW - Urban,Straight,,,,On,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,50 km/h,Local,71,Off rd left => obj,703,Left off cway into object,,Other angle,Motor scooter,Car (sedan/hatch),2,0,1,0,0,11,November,Spring,Saturday,22:00 - Midnight,Evening / night,False,False,True,True
1371660,Injury,Moderate Injury,2024,2024,December,Tuesday,08:00 - 09:59,MURRINGO,RD,5000,West,CAMPBELLFIELDS,RD,MURRINGO,241.0,No,Not a school zone,2-way undivided,-34.368948,148.586181,Hilltops,Country non-urban,Rest of NSW - Rural,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,100 km/h,Regional,70,Off road to left,701,Off carriageway to left,,Rollover,Unknown type,,1,0,0,1,0,12,December,Summer,Tuesday,08:00 - 09:59,AM peak / school commute,True,False,True,True
1371671,Injury,Serious Injury,2024,2024,November,Friday,06:00 - 07:59,OLYMPIC,DR,20,North,CHURCH,ST,LIDCOMBE,190.0,No,Not a school zone,Divided road,-33.861383,151.04222,Cumberland,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Steep grade,,,Off,Sealed,Dry,Fine,Dawn,Nil,No traffic controls,70 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Car (sedan/hatch),4 wheel drive / SUV,2,0,1,0,1,11,November,Spring,Friday,06:00 - 07:59,AM peak / school commute,True,False,True,True
